"year","country_name","country_code","co2_per_capita","gdp_per_capita","pm2_5","mortality_rate_infant","mortality_rate_neonatal","mortality_rate_under_5","health_expenditure_percent_of_gdp","population","immunization","basic_sanitation","birth_rate","region","income_level","mortality_rate_neonatal_cat","mortality_rate_under_5_cat","mortality_count_under_5","mortality_count_neonatal","live_births"
2010,"CABO VERDE","CPV",1.03738977613716,3500.97745196395,34.11058979,22.3,16,26.5,4.47555733,521212,"97","59.6818525468582",21.565,"Sub-Saharan Africa","Lower middle income","High","High",297858324.67,179838988.48,11239936.78
2010,"CAMBODIA","KHM",0.357906397952816,782.695738661233,28.99049207,37.4,21.3,43.9,6.91169977,14363532,"90","38.0261681716986",23.669,"East Asia and Pacific","Lower middle income","High","High",14924702268.0612,7241370348.7404,339970438.908
2010,"CAMEROON","CMR",0.352871883318855,1383.81386416854,59.4274705,68.6,31.5,110.2,3.57742167,19878036,"79","40.2024295671356",39.958,"Sub-Saharan Africa","Lower middle income","High","Low",87530379186.1776,25020026718.372,794286562.488
2010,"CANADA","CAN",15.7945376619227,47562.0834253057,7.884019371,5,3.7,5.7,10.70161057,34004889,"90","99.5126201247374",11.2,"North America","High income","High","High",2170872113.76,1409162600.16,380854756.8
2010,"CENTRAL AFRICAN REPUBLIC","CAF",0.0375101903041308,459.776981626072,43.8549236,91.1,36.2,129.8,3.56699872,4660067,"53","17.9009514050434",43.237,"Sub-Saharan Africa","Low income","High","Low",26153053730.8942,7293840871.0198,201487316.879
2010,"CHAD","TCD",0.100044330567654,896.876704216275,57.53023063,84.4,38,148.4,4.06023312,11894727,"46","10.6144009031658",48.764,"Sub-Saharan Africa","Low income","High","Low",86077114966.3152,22041309762.264,580034467.428
2010,"CHILE","CHL",4.10188399757659,12767.7820406263,21.13580447,7.4,5.3,8.7,6.77489376,17004162,"93","97.102236534404",14.327,"Latin America and Caribbean","High income","High","High",2119482072.0738,1291178733.5622,243618628.974
2010,"CHINA","CHN",6.33541976743751,4550.47392427081,53.28667651,12.5,8.4,15.8,4.23068333,1337705000,"99","75.801047562911",11.9,"East Asia and Pacific","Upper middle income","High","Low",251515294100,133716991800,15918689500
2010,"COLOMBIA","COL",1.43131795380357,6392.75802564032,25.0816067,15.8,10,18.4,7.07130098,44816108,"88","84.314142164482",16.909,"Latin America and Caribbean","Upper middle income","Low","Low",13943438491.1648,7577955701.72,757795570.172
2010,"COMOROS","COM",0.255783325000305,1384.06328381602,17.12974601,54.6,33.4,72.7,4.99181557,656024,"72","34.3266154418974",33.924,"Sub-Saharan Africa","Lower middle income","High","High",1617935459.3952,743315603.0784,22254958.176
2010,"CONGO, DEM. REP.","COD",0.0399736368901706,324.827725981436,35.88052514,83.9,32.5,114.6,3.86035633,66391257,"66","19.4987268908352",44.526,"Sub-Saharan Africa","Low income","High","Low",338773312712.257,96074456048.415,2956137109.182
2010,"CONGO, REP.","COG",1.22205762926656,2962.76247997267,38.03920932,43.2,22.7,62.4,1.85172856,4437884,"75","16.0823109686403",38.858,"Sub-Saharan Africa","Lower middle income","High","High",10760711299.8528,3914553629.9144,172447296.472
2010,"COSTA RICA","CRI",1.53723769279563,8147.24398481032,18.10693704,9.1,6.6,10.5,8.02937698,4622252,"83","95.9220323752263",16.04,"Latin America and Caribbean","Upper middle income","High","Low",778479681.84,489330085.728,74140922.08
2010,"COTE D'IVOIRE","CIV",0.300690689914348,1654.17795875222,50.91110203,74.9,39.5,106.4,4.41580915,21120042,"64","27.5606050351637",38.815,"Sub-Saharan Africa","Lower middle income","High","Low",87223999376.472,32381089994.085,819774430.23
2010,"CROATIA","HRV",4.52977084699612,13664.2088391124,21.21532951,4.7,3.6,5.5,8.0207386,4295427,"96","96.7812677036741",9.8,"Europe and Central Asia","High income","High","High",231523515.3,151542664.56,42095184.6
2010,"CUBA","CUB",2.48972203595315,5275.53260105122,18.07248309,5.1,2.9,6.4,10.6880827,11290417,"99","86.2315854351565",11.417,"Latin America and Caribbean","Upper middle income","High","High",824977221.6896,373817803.5781,128902690.889
2010,"CYPRUS","CYP",6.9916773333475,31105.02734375,18.80666676,2.9,2,3.5,6.51767111,1129686,"87","99.5722799385489",12.045,"Europe and Central Asia","High income","High","High",47624737.545,27214135.74,13607067.87
2010,"CZECHIA","CZE",10.8996688118949,19960.0684872157,20.48778139,2.7,1.7,3.4,6.87530422,10474410,"98","99.1302073873726",11.2,"Europe and Central Asia","High income","Low","High",398865532.8,199432766.4,117313392
2010,"DENMARK","DNK",8.67475665065938,58041.3984363385,13.29038466,3.5,2.9,4.1,10.60774708,5547683,"85","99.5972315674596",11.4,"Europe and Central Asia","High income","High","High",259298703.42,183406399.98,63243586.2
2010,"DJIBOUTI","DJI",0.564730814546143,1227.82085311429,42.00889257,62.5,37.5,76.5,3.06150365,919199,"85","54.9325895806101",26.118,"Middle East and North Africa","Lower middle income","High","High",1836584420.373,900286480.575,24007639.482
2010,"DOMINICA","DMA",2.50890844302233,7182.40020254419,17.6150034,21.4,19.6,24.6,5.15711927,68755,"99","76.5993821054773",14.009,"Latin America and Caribbean","Upper middle income","High","Low",23694444.357,18878500.382,963188.795
2010,"DOMINICAN REPUBLIC","DOM",2.1155194662714,5509.56805406696,16.76999522,29,24.4,35.2,4.92355442,9775755,"85","82.5312234804459",22.038,"Latin America and Caribbean","Upper middle income","High","High",7583420721.888,5256689364.036,215438088.69
2010,"ECUADOR","ECU",2.48532564443912,4640.24634437845,21.29437515,16.3,8.9,19,6.11657906,14989585,"95","80.3840121976879",21.892,"Latin America and Caribbean","Upper middle income","High","Low",6234887901.58,2920552753.898,328151994.82
2010,"EGYPT, ARAB REP.","EGY",2.29579094849789,2509.77203417522,78.51079086,24.1,15.3,28.8,4.15319157,87252413,"96","94.3654653837058",27.16,"Middle East and North Africa","Lower middle income","High","High",68249535467.904,36257565717.324,2369775537.08
2010,"EL SALVADOR","SLV",1.069539358139,3017.3073947577,24.2580053,16.5,9.4,19.3,8.90416241,6114034,"92","83.7547743731515",19.428,"Latin America and Caribbean","Upper middle income","High","Low",2292520634.2536,1116564453.9888,118783452.552
2010,"EQUATORIAL GUINEA","GNQ",5.52550697837599,14905.5145697484,40.0552493,79.1,35.7,111.3,1.81856561,1094524,"44","63.8311923686012",38.674,"Sub-Saharan Africa","Upper middle income","High","Low",4711286836.8888,1511167475.9832,42329621.176
2010,"ERITREA","ERI",0.159781963302408,504.972460176652,43.29440019,39.1,22,55.2,4.92946053,3147727,"95","11.2019449777584",33.692,"Sub-Saharan Africa","Low income","High","High",5854137638.2368,2333170797.848,106053218.084
2010,"ESTONIA","EST",13.8946656903059,14663.0446126465,8.648386553,3.6,2.1,4.6,6.32313585,1331475,"95","99.2679099670805",11.9,"Europe and Central Asia","High income","High","High",72884941.5,33273560.25,15844552.5
2010,"ESWATINI","SWZ",0.772056149538148,4035.53450204593,23.88204643,58.4,25.9,88.3,8.5912571,1099920,"94","56.502583277554",30.083,"Sub-Saharan Africa","Lower middle income","High","High",2921749283.688,857002338.024,33088893.36
2010,"ETHIOPIA","ETH",0.0725387745198668,335.438495270931,34.02327199,54.4,38,82.1,5.46637249,89237791,"64","5.88367348842843",36.528,"Sub-Saharan Africa","Low income","High","High",267619566234.101,123867765126.624,3259678029.648
2010,"FIJI","FJI",1.24429802611446,3469.15022439864,10.93396761,20.1,9.3,23.7,3.41664124,905169,"96","91.2985218075568",22.664,"East Asia and Pacific","Upper middle income","High","Low",486199580.1192,190787177.0088,20514750.216
2010,"FINLAND","FIN",11.6580824827459,46505.3031791822,7.205869088,2.5,1.7,3,9.14202785,5363352,"98","99.448080130139",11.4,"Europe and Central Asia","High income","Low","High",183426638.4,103941761.76,61142212.8
2010,"FRANCE","FRA",5.35040786583849,40676.0647913191,15.07698542,3.1,2.3,4.2,11.22560215,65030575,"89","98.6554788973478",12.9,"Europe and Central Asia","High income","High","High",3523356553.5,1929457160.25,838894417.5
2010,"GABON","GAB",3.36746722147384,8399.59734429648,35.45526085,41.5,24.2,61.8,2.47556901,1711105,"62","44.0184608469988",33.177,"Sub-Saharan Africa","Upper middle income","High","High",3508344630.153,1373817800.157,56769330.585
2010,"GAMBIA, THE","GMB",0.224129253719787,796.631838772059,54.96105771,45.9,33.3,74,4.11944056,1937275,"92","46.3547751187486",41.084,"Sub-Saharan Africa","Low income","High","High",5889734451.4,2650380503.13,79591006.1
2010,"GEORGIA","GEO",1.40547363862154,3233.22035714481,17.80213302,12.6,10.1,14.1,9.07341194,3786695,"94","87.7419001831827",15.109,"Europe and Central Asia","Upper middle income","Low","Low",806705764.0455,577853065.0255,57213174.755
2010,"GERMANY","DEU",9.45338862684134,41572.4559481517,16.08934354,3.5,2.3,4.2,11.09592915,81776930,"97","99.2241473321448",8.3,"Europe and Central Asia","High income","High","High",2850743779.8,1561121593.7,678748519
2010,"GHANA","GHA",0.405971224942882,1258.96390342222,50.08807979,47.4,30.1,69.8,4.22405624,25574719,"93","14.9904419527654",33.004,"Sub-Saharan Africa","Lower middle income","High","High",58915948206.1448,25406447578.8676,844068025.876
2010,"GREECE","GRC",7.87481473681996,26716.648826028,19.06202926,3.4,2.1,3.9,9.59662342,11121341,"99","98.5652450170129",10.3,"Europe and Central Asia","High income","High","High",446744267.97,240554605.83,114549812.3
2010,"GRENADA","GRD",2.39917922815879,6760.97488416081,19.82709385,13.3,9,15.4,5.4188118,114039,"95","92.4890015648732",17.927,"Latin America and Caribbean","Upper middle income","High","Low",31483408.1562,18399394.377,2044377.153
2010,"GUATEMALA","GTM",0.804898452539667,2852.55765185029,28.87738634,28.7,16.2,34.8,6.1247797,14259687,"93","65.3698828920577",27.525,"Latin America and Caribbean","Upper middle income","High","High",13658926386.69,6358465731.735,392497884.675
2010,"GUINEA","GIN",0.243682823651839,667.281601915278,51.07018507,76.8,35.9,121.9,3.42782617,10270728,"58","17.8258881812328",39.369,"Sub-Saharan Africa","Lower middle income","High","Low",49290056628.0408,14516103633.6888,404348290.632
2010,"GUINEA-BISSAU","GNB",0.153775475044984,542.284101219589,52.80501579,72.6,45.1,114.4,6.26116657,1567220,"76","13.4760634593862",38.427,"Sub-Saharan Africa","Low income","High","Low",6889575600.336,2716082688.594,60223562.94
2010,"GUYANA","GUY",2.35221918570137,4589.87249015273,21.69833304,30.5,22.8,37.4,4.21897697,747932,"95","83.6938763663537",21.705,"Latin America and Caribbean","High income","High","High",607146515.844,370132100.568,16233864.06
2010,"HAITI","HTI",0.249743977372476,1204.86205532083,18.05516481,76.3,29.3,130.1,4.54871035,9842880,"64","27.1564387955898",27.527,"Latin America and Caribbean","Lower middle income","High","Low",35249939004.576,7938687262.368,270944957.76
2010,"HONDURAS","HND",0.937979274004421,1874.27170372599,24.06241788,20.9,14,24.7,8.72536373,8450933,"98","74.0395437244252",25.392,"Latin America and Caribbean","Lower middle income","High","Low",5300276441.1792,3004205270.304,214586090.736
2010,"HUNGARY","HUN",4.78803898751033,13217.5045951108,20.010989,5.1,3.4,6,7.44544077,10000023,"99","98.0084031317034",9,"Europe and Central Asia","High income","High","High",540001242,306000703.8,90000207
2010,"ICELAND","ISL",6.15997308523115,43237.0729488958,6.595638323,2.1,1.3,2.7,8.36173058,318041,"93","98.7847544977645",15.4,"Europe and Central Asia","High income","Low","Low",13224144.78,6367180.82,4897831.4
2010,"INDIA","IND",1.33803383522422,1350.63445681517,76.67834222,45.1,31.8,58.1,3.27211928,1240613620,"82","42.7083153635918",21.438,"South Asia","Lower middle income","High","High",1545243565041.04,845761538180.808,26596274785.56
2010,"INDONESIA","IDN",1.70290597910492,3094.44307855057,22.31721025,27.9,17.4,33.9,2.7908783,244016173,"78","61.8456968664636",20.158,"East Asia and Pacific","Upper middle income","High","High",166749964719.823,85588477466.8116,4918878015.334
2010,"IRAN, ISLAMIC REP.","IRN",7.1798251528995,6458.57395640309,41.37853622,16.5,12.6,19.3,6.29153061,75373855,"99","85.1656679433689",17.755,"Middle East and North Africa","Lower middle income","High","Low",25828471953.6325,16862111223.615,1338262795.525
2010,"IRAQ","IRQ",3.47195694849252,4430.42624189518,57.24593137,28.7,19.9,34.9,3.23055625,31264875,"75","82.9658494219012",34.291,"Middle East and North Africa","Upper middle income","High","High",37416423619.0125,21334866189.6375,1072103828.625
2010,"IRELAND","IRL",8.84787907428585,48663.6004439262,9.902931522,3.5,2.5,4.2,10.5258255,4560155,"90","89.883283669164",16.5,"Europe and Central Asia","High income","High","High",316018741.5,188106393.75,75242557.5
2010,"ISRAEL","ISR",9.25026234324991,31266.6053174383,24.98858454,3.7,2.4,4.6,6.99706697,7623600,"96","100",21.8,"Middle East and North Africa","High income","High","High",764494608,398866752,166194480
2010,"ITALY","ITA",6.83687516276224,36035.6449950699,20.29490103,3.4,2.4,4,8.91602039,59277417,"91","99.8857062365452",9.5,"Europe and Central Asia","High income","High","High",2252541846,1351525107.6,563135461.5
2010,"JAMAICA","JAM",2.73594899001279,4835.79106820501,14.88750421,14.8,14.6,17.3,5.2951932,2733896,"89","84.7049497959263",15.329,"Latin America and Caribbean","Upper middle income","High","Low",725006527.8632,611855220.0464,41907891.784
2010,"JAPAN","JPN",9.03600999453424,44968.1562349739,11.52530862,2.3,1.1,3.2,9.0630064,128070000,"94","99.9730441075855",8.5,"East Asia and Pacific","High income","Low","High",3483504000,1197454500,1088595000
2010,"JORDAN","JOR",2.91387220039999,3914.70123105389,35.89120302,17.2,11.8,20.1,8.17025661,6931258,"98","97.9706013227248",28.605,"Middle East and North Africa","Lower middle income","Low","Low",3985199565.309,2339569894.062,198268635.09
2010,"KAZAKHSTAN","KAZ",14.0732754184079,9070.48825285747,18.97825386,18.2,11.8,20.4,2.73641348,16321872,"99","97.3958712664256",22.53,"Europe and Central Asia","Upper middle income","Low","Low",7501728233.664,4339234958.688,367731776.16
2010,"KENYA","KEN",0.323340092266238,1093.63962775736,26.8091823,38.5,23.2,56.1,5.38849831,41517895,"86","31.74269809332",35.422,"Sub-Saharan Africa","Lower middle income","High","High",82503289782.309,34119007539.208,1470646876.69
2010,"KIRIBATI","KIR",0.502801055604426,1438.08077150793,9.806587652,49.3,25.2,64.5,9.26172829,107995,"89","40.2962738587933",30.783,"East Asia and Pacific","Lower middle income","High","High",214424450.4825,83775134.142,3324410.085
2010,"KOREA, REP.","KOR",11.6078298406397,23087.2256438476,22.85407832,3.5,1.8,4.1,5.91734409,49554112,"98","99.9656957165082",9.4,"East Asia and Pacific","High income","Low","High",1909815476.48,838455575.04,465808652.8
2010,"KUWAIT","KWT",27.4263799553979,39212.6352806064,66.2493716,9.2,5.5,10.7,2.67879915,2943356,"98","100",21.203,"Middle East and North Africa","High income","High","Low",667765356.7676,343243874.974,62407977.268
2010,"KYRGYZ REPUBLIC","KGZ",1.17373666917528,880.038514144186,23.28809126,26.1,17,29.6,6.95027161,5447900,"99","95.3014005515192",26.8,"Europe and Central Asia","Lower middle income","High","High",4321710112,2482063240,146003720
2010,"LAO PDR","LAO",0.454991272125297,1127.83523605646,26.37801788,51.8,28.8,68.3,2.91155219,6323418,"64","56.4281940263064",27.042,"East Asia and Pacific","Lower middle income","High","High",11679154490.6748,4924738643.2128,170997869.556
2010,"LATVIA","LVA",4.06096622019446,11420.9940032836,18.08881031,6.5,4.2,7.8,6.097435,2097555,"95","90.0717571918189",9.4,"Europe and Central Asia","High income","High","High",153792732.6,82811471.4,19717017
2010,"LEBANON","LBN",4.17636814924537,7695.24541461262,32.37350564,9.7,6.5,11.2,7.43864489,4995800,"80","87.3971560230884",17.565,"Middle East and North Africa","Lower middle income","High","Low",982813742.4,570382975.5,87751227
2010,"LESOTHO","LSO",1.0672615013148,1104.80053785826,32.62987189,67,37.9,93,8.35764122,2022747,"88","30.4253043022921",28.477,"Sub-Saharan Africa","Lower middle income","High","High",5356964267.667,2183106943.4901,57601766.319
2010,"LIBERIA","LBR",0.181534325251321,497.020365397034,44.46963149,71.9,32.9,99.9,8.978302,4019956,"65","15.9511988042973",38.074,"Sub-Saharan Africa","Low income","High","High",15290274893.9256,5035535976.0776,153055804.744
2010,"LIBYA","LBY",9.17432379727135,11611.3585953054,48.07737731,14.2,8.9,16.6,3.58541107,6491988,"98","91.4532145985401",23.562,"Middle East and North Africa","Upper middle income","High","Low",2539206072.8496,1361381569.1784,152964221.256
2010,"LITHUANIA","LTU",4.06905151032421,11987.508411647,14.70448134,4.9,2.8,6,6.81462288,3097282,"96","89.1284006750331",9.9,"Europe and Central Asia","High income","High","High",183978550.8,85856657.04,30663091.8
2010,"LUXEMBOURG","LUX",21.7556657126006,110885.991378724,13.18124791,2.3,1.5,2.8,6.66263008,506953,"96","97.6400126990447",11.6,"Europe and Central Asia","High income","Low","Low",16465833.44,8820982.2,5880654.8
2010,"MADAGASCAR","MDG",0.0860427702237899,459.375407998781,19.00867131,48,25.1,70.9,4.65100384,21731053,"66","8.57423264087617",36.041,"Sub-Saharan Africa","Low income","High","High",55529509675.1657,19658542917.4423,783208881.173
2010,"MALAWI","MWI",0.0668862463652693,688.139191185368,25.76200797,52,26.5,83,5.14304781,14718422,"93","22.9502207251724",40.825,"Sub-Saharan Africa","Low income","High","High",49873004986.45,15923308820.975,600879578.15
2010,"MALAYSIA","MYS",6.95970722756613,8880.14603964288,18.24105197,7,4.3,8.1,3.16474271,28717731,"95","94.736582737823",17.002,"East Asia and Pacific","Upper middle income","High","High",3954896785.9422,2099513108.5866,488258862.462
2010,"MALDIVES","MDV",2.6633478531425,7158.06141101431,13.74643253,11.9,7.6,13.9,8.48758984,361575,"97","87.8394197664",21.165,"South Asia","Upper middle income","High","Low",106373014.7625,58160785.05,7652734.875
2010,"MALI","MLI",0.138706606613704,688.327865548408,62.42665398,78.4,39.9,134.1,4.67866755,15529181,"78","29.6838043988009",46.588,"Sub-Saharan Africa","Low income","High","Low",97017794261.7948,28866592028.6772,723473484.428
2010,"MALTA","MLT",6.24016906790701,21798.9029323123,17.53479836,6,4.6,6.8,7.95211124,414508,"73","99.9647232541935",9.4,"Middle East and North Africa","High income","High","High",26495351.36,17923325.92,3896375.2
2010,"MARSHALL ISLANDS","MHL",2.63591433278418,3001.31982926464,9.71516679,31.8,17.9,39.1,13.93147564,53416,"97","85.4310277601314",30.129,"East Asia and Pacific","Upper middle income","High","High",62926392.9624,28807734.8856,1609370.664
2010,"MAURITANIA","MRT",0.606440605697799,1646.13044745656,64.4872204,41.6,28.3,56.7,2.63618922,3419461,"67","32.4828471045186",36.772,"Sub-Saharan Africa","Lower middle income","High","High",7129481807.8764,3558453882.9436,125740419.892
2010,"MAURITIUS","MUS",2.92850287907869,8000.37643182154,15.01183272,12.5,9.4,14.6,4.57982159,1250400,"99","94.2335664258149",12,"Sub-Saharan Africa","Upper middle income","High","Low",219070080,141045120,15004800
2010,"MEXICO","MEX",4.11321091425038,9399.96470859669,21.61912278,16.4,9,19.2,5.73688889,112532401,"95","84.9709827739648",20.152,"Latin America and Caribbean","Upper middle income","High","Low",43540856543.0784,20409776504.568,2267752944.952
2010,"MOLDOVA","MDA",2.89799933900559,2436.7993586401,18.25907358,14.7,12.7,17.1,10.13112831,2862354,"97","76.9677005639759",14.265,"Europe and Central Asia","Upper middle income","High","Low",698218304.751,518559793.587,40831479.81
2010,"MONGOLIA","MNG",5.2954649734322,2660.28817572742,30.13551628,22.1,11.5,26.3,3.73945689,2702520,"97","56.6892307138482",23.349,"East Asia and Pacific","Lower middle income","Low","High",1659559968.324,725663104.02,63101139.48
2010,"MOROCCO","MAR",1.59401556113047,3067.85180664063,32.91817527,26.9,19.4,31.3,5.86408854,32464865,"98","77.918633263736",21.402,"Middle East and North Africa","Lower middle income","High","High",21747648174.849,13479372990.162,694813040.73
2010,"MOZAMBIQUE","MOZ",0.116175443382067,481.268196951352,23.25243023,71.1,34.2,104.8,5.43892908,23073723,"82","21.3170069551163",42.013,"Sub-Saharan Africa","Low income","High","Low",101592734797.015,33153354294.4458,969396324.399
2010,"MYANMAR","MMR",0.164631248113522,765.241888636197,37.52067534,48.6,28.4,63.4,1.95585966,49390988,"88","68.8298210389307",19.409,"East Asia and Pacific","Lower middle income","High","High",60777122098.2328,27225083085.0128,958629686.092
2010,"NAMIBIA","NAM",1.47837034856386,5445.42006302741,26.5972148,36.9,21.3,49.4,9.72781372,2099271,"75","32.1500515659927",30.423,"Sub-Saharan Africa","Upper middle income","High","High",3154986408.6702,1360348390.7829,63866121.633
2010,"NAURU","NRU",4.16951469583049,4644.35527446884,5.408164988,30.7,24,37.6,12.6964016,10241,"99","65.7598065462126",34.435,"East Asia and Pacific","High income","High","High",13259596.196,8463572.04,352648.835
2010,"NEPAL","NPL",0.17086274882447,589.165434913038,77.14093136,36.6,26.4,45.9,4.3516593,27161567,"86","42.0493403726571",22.589,"South Asia","Lower middle income","High","High",28162066036.6017,16197789615.8232,613552636.963
