"Country","CC","CF","GDP","RE","CHE","CHE_GDP","CO2","CO2m","IMD","IMH","IMM","F","Sanitation","Water","U","Tobacco","Tobacco_fem","Tobacco_m","PM","Mortality","Deaths","OAP","OAPc","Population","Population_m","Population_f","pm_category","Region","Mortality_Category"
"SIERRA LEONE","SLE",0.700000000000001,506.606908156498,75.44,44.81790924,8.84668446,1038.8,0.129094346244259,95,95,93,4.192,20.0997387688789,61.9298092529535,27.9,14.3,6.8,21.7,51.09606544,112.5,28847,55.1825676,24.73167414,8046828,4030454,4016374,"Very High","Sub-Saharan Africa","High"
"SLOVAK REPUBLIC","SVK",100,19381.592110485,17.64,1342.0748291,6.94772625,31032.5,5.68970729978492,97,97,96,1.57,97.5318448286994,99.7878178521954,3.7,31.5,25.4,37.6,18.36521464,5.8,333,19.15934563,257.13274936,5454147,2663171,2790976,"Moderate","Europe and Central Asia","Low"
"SOLOMON ISLANDS","SLB",8.9,2398.77296268603,48.36,103.80370331,4.46258593,304.8,0.451560238402472,94,94,81,4.104,34.4924126004925,67.1538021706971,17.8,36.8,19.6,53.9,12.89495904,20,412,3.67973828,3.81970424,674993,345031,329962,"Moderate","East Asia and Pacific","Low"
"SOUTH AFRICA","ZAF",87.1,6688.77474649645,8.84,550.48022461,8.24258327,446626,7.68890762322173,85,85,83,2.475,75.3796452913204,93.3882436903298,6.3,20.4,6.7,34,28.67475434,34.3,41542,5.71879625,31.48084423,58087055,28207948,29879107,"High","Sub-Saharan Africa","High"
"SPAIN","ESP",100,29581.5185513293,16.68,2712.5090332,9.13947964,241886.5,5.13179880095904,95,95,98,1.23,99.9193565738972,99.9258382744694,2.5,28.1,26.9,29.3,9.728788477,3.2,1165,21.76320267,590.32885063,47134837,23104636,24030201,"Low","Europe and Central Asia","Low"
"SRI LANKA","LKA",30.2,4082.69404756548,46.13,142.05116272,3.66153812,23427.9,1.07452644131542,99,99,99,2.019,92.487940769035,88.3914085074832,3.7,22.3,2.7,41.9,19.96439581,7.3,2326,51.07418823,72.55148197,21803000,10514808,11288193,"Moderate","South Asia","Low"
"TANZANIA","TZA",5.59999999999999,1050.93237304688,83.54,39.56215286,3.87440205,14960.8,0.249877326981355,89,89,88,4.864,29.099388976813,56.5658481263889,23.4,9.2,3.5,14.9,24.74048013,50.4,108822,21.91386986,8.66959902,59872579,29563439,30309141,"Moderate","Sub-Saharan Africa","High"
"THAILAND","THA",83.1,7628.57608699366,23.95,294.46008301,3.8583262,274466.7,3.84904375698898,97,97,96,1.352,98.4205237102314,99.9648313601704,8,22.5,3,41.9,27.40271356,9,6162,8.51409531,25.07060941,71307763,34723388,36584375,"High","East Asia and Pacific","Low"
"TIMOR-LESTE","TLS",12.85,1584.26382222333,11.67,79.26290131,5.95605564,617.6,0.482334951008952,90,90,85,3.336,55.1898926962233,82.3841159192672,25,39.8,11.2,68.4,15.65130893,53.9,1757,10.48759174,8.31276888,1280438,653013,627425,"Moderate","East Asia and Pacific","High"
"TOGO","TGO",9.8,848.304826917637,76.2,49.42482758,5.64253759,2442.3,0.296284380597868,84,84,75,4.385,18.3495107376786,67.8121290467606,20.1,7.1,1.3,12.8,46.21037553,66.6,17619,67.19138336,33.20922436,8243094,4142015,4101080,"High","Sub-Saharan Africa","High"
"TUNISIA","TUN",99.8,3477.84427052074,12.19,189.74969482,5.47337294,31045,2.57649522620126,98,98,98,2.148,96.3765731985838,96.1940901831773,2.6,25,2.1,47.8,30.42981942,16.9,3549,42.90058517,81.40372164,12049314,5962724,6086590,"High","Middle East and North Africa","Low"
"TURKIYE","TUR",95.4,9103.01239697463,14.12,397.40911865,4.35956669,398772.9,4.77677115377788,99,99,97,1.967,98.692989994129,96.8689641597761,2.5,30.9,18.9,42.9,26.03180162,10.1,13529,17.04763412,67.74885442,83481684,41866950,41614734,"High","Europe and Central Asia","Low"
"TURKMENISTAN","TKM",99.9,7180.4595520094,0.06,488.62384033,5.68183947,63231.8,10.2675361537537,99,99,99,2.74,99.00213592626,99.79292325362,3.5,5.8,0.5,11.1,26.19766251,42.8,6133,77.00280762,376.25409254,6158420,3050231,3108189,"High","Europe and Central Asia","High"
"UKRAINE","UKR",95.2,3661.45776367188,7.44,246.9130249,7.09389353,174599.9,3.93365253612705,80,76,93,1.228,97.7415991917121,93.5115778266462,2.6,26.2,11.6,40.7,14.53144476,8.5,3234,51.11891937,126.21927278,44386203,20561786,23824417,"Moderate","Europe and Central Asia","Low"
"URUGUAY","URY",100,18098.361548609,59.34,1677.09790039,9.39027691,6806.7,1.98538155745128,94,94,96,1.546,97.7678001669948,99.4872379896577,2.5,22,18.8,25.1,9.533862914,6.8,268,15.46145821,259.30380229,3428409,1659147,1769262,"Low","Latin America and Caribbean","Low"
"UZBEKISTAN","UZB",83.5,1795.20176845657,1.56,98.5874176,5.43133879,117687.8,3.50466269708326,96,96,98,2.785,95.9392178524971,95.6274361480504,2.5,17.8,1.1,34.5,34.78609557,15.4,12082,57.68497086,56.87011921,33580350,16797144,16783206,"High","Europe and Central Asia","Low"
"VANUATU","VUT",7.6,3076.58988588361,31.63,101.97441101,3.31453276,166.9,0.548284516629216,90,90,80,3.813,48.3408689974498,90.0654259004521,12.4,18.2,2.7,33.7,12.88296752,24.7,226,8.07740307,8.23688401,304404,153149,151256,"Moderate","East Asia and Pacific","Low"
"VIET NAM","VNM",93,3491.09127859728,20.65,173.65045166,5.03395176,341716.8,3.56784836932601,89,89,95,1.948,86.6378024979776,95.9890536474813,6.2,25,2.2,47.8,20.3898157,21.1,31702,45.11717224,78.34617034,95776716,47288433,48488283,"Moderate","East Asia and Pacific","Low"
