"year","country_name","country_code","co2_per_capita","gdp_per_capita","pm2_5","mortality_rate_infant","mortality_rate_neonatal","mortality_rate_under_5","health_expenditure_percent_of_gdp","population","immunization","basic_sanitation","region","income_level"
2010,"DOMINICAN REPUBLIC","DOM",2.1155194662714,5509.56805406696,16.76999522,29,24.4,35.2,4.92355442,9775755,"85","82.5312234804459","Latin America and Caribbean","Upper middle income"
2010,"ECUADOR","ECU",2.48532564443912,4640.24634437845,21.29437515,16.3,8.9,19,6.11657906,14989585,"95","80.3840121976879","Latin America and Caribbean","Upper middle income"
2010,"EGYPT, ARAB REP.","EGY",2.29579094849789,2509.77203417522,78.51079086,24.1,15.3,28.8,4.15319157,87252413,"96","94.3654653837058","Middle East and North Africa","Lower middle income"
2010,"EL SALVADOR","SLV",1.069539358139,3017.3073947577,24.2580053,16.5,9.4,19.3,8.90416241,6114034,"92","83.7547743731515","Latin America and Caribbean","Upper middle income"
2010,"EQUATORIAL GUINEA","GNQ",5.52550697837599,14905.5145697484,40.0552493,79.1,35.7,111.3,1.81856561,1094524,"44","63.8311923686012","Sub-Saharan Africa","Upper middle income"
2010,"ERITREA","ERI",0.159781963302408,504.972460176652,43.29440019,39.1,22,55.2,4.92946053,3147727,"95","11.2019449777584","Sub-Saharan Africa","Low income"
2010,"ESTONIA","EST",13.8946656903059,14663.0446126465,8.648386553,3.6,2.1,4.6,6.32313585,1331475,"95","99.2679099670805","Europe and Central Asia","High income"
2010,"ESWATINI","SWZ",0.772056149538148,4035.53450204593,23.88204643,58.4,25.9,88.3,8.5912571,1099920,"94","56.502583277554","Sub-Saharan Africa","Lower middle income"
2010,"ETHIOPIA","ETH",0.0725387745198668,335.438495270931,34.02327199,54.4,38,82.1,5.46637249,89237791,"64","5.88367348842843","Sub-Saharan Africa","Low income"
2010,"FIJI","FJI",1.24429802611446,3469.15022439864,10.93396761,20.1,9.3,23.7,3.41664124,905169,"96","91.2985218075568","East Asia and Pacific","Upper middle income"
2010,"FINLAND","FIN",11.6580824827459,46505.3031791822,7.205869088,2.5,1.7,3,9.14202785,5363352,"98","99.448080130139","Europe and Central Asia","High income"
2010,"FRANCE","FRA",5.35040786583849,40676.0647913191,15.07698542,3.1,2.3,4.2,11.22560215,65030575,"89","98.6554788973478","Europe and Central Asia","High income"
2010,"GABON","GAB",3.36746722147384,8399.59734429648,35.45526085,41.5,24.2,61.8,2.47556901,1711105,"62","44.0184608469988","Sub-Saharan Africa","Upper middle income"
2010,"GAMBIA, THE","GMB",0.224129253719787,796.631838772059,54.96105771,45.9,33.3,74,4.11944056,1937275,"92","46.3547751187486","Sub-Saharan Africa","Low income"
2010,"GEORGIA","GEO",1.40547363862154,3233.22035714481,17.80213302,12.6,10.1,14.1,9.07341194,3786695,"94","87.7419001831827","Europe and Central Asia","Upper middle income"
2010,"GERMANY","DEU",9.45338862684134,41572.4559481517,16.08934354,3.5,2.3,4.2,11.09592915,81776930,"97","99.2241473321448","Europe and Central Asia","High income"
2010,"GHANA","GHA",0.405971224942882,1258.96390342222,50.08807979,47.4,30.1,69.8,4.22405624,25574719,"93","14.9904419527654","Sub-Saharan Africa","Lower middle income"
2010,"GREECE","GRC",7.87481473681996,26716.648826028,19.06202926,3.4,2.1,3.9,9.59662342,11121341,"99","98.5652450170129","Europe and Central Asia","High income"
2010,"GRENADA","GRD",2.39917922815879,6760.97488416081,19.82709385,13.3,9,15.4,5.4188118,114039,"95","92.4890015648732","Latin America and Caribbean","Upper middle income"
2010,"GUATEMALA","GTM",0.804898452539667,2852.55765185029,28.87738634,28.7,16.2,34.8,6.1247797,14259687,"93","65.3698828920577","Latin America and Caribbean","Upper middle income"
2010,"GUINEA","GIN",0.243682823651839,667.281601915278,51.07018507,76.8,35.9,121.9,3.42782617,10270728,"58","17.8258881812328","Sub-Saharan Africa","Lower middle income"
2010,"GUINEA-BISSAU","GNB",0.153775475044984,542.284101219589,52.80501579,72.6,45.1,114.4,6.26116657,1567220,"76","13.4760634593862","Sub-Saharan Africa","Low income"
2010,"GUYANA","GUY",2.35221918570137,4589.87249015273,21.69833304,30.5,22.8,37.4,4.21897697,747932,"95","83.6938763663537","Latin America and Caribbean","High income"
2010,"HAITI","HTI",0.249743977372476,1204.86205532083,18.05516481,76.3,29.3,130.1,4.54871035,9842880,"64","27.1564387955898","Latin America and Caribbean","Lower middle income"
2010,"HONDURAS","HND",0.937979274004421,1874.27170372599,24.06241788,20.9,14,24.7,8.72536373,8450933,"98","74.0395437244252","Latin America and Caribbean","Lower middle income"
2010,"HUNGARY","HUN",4.78803898751033,13217.5045951108,20.010989,5.1,3.4,6,7.44544077,10000023,"99","98.0084031317034","Europe and Central Asia","High income"
2010,"ICELAND","ISL",6.15997308523115,43237.0729488958,6.595638323,2.1,1.3,2.7,8.36173058,318041,"93","98.7847544977645","Europe and Central Asia","High income"
2010,"INDIA","IND",1.33803383522422,1350.63445681517,76.67834222,45.1,31.8,58.1,3.27211928,1240613620,"82","42.7083153635918","South Asia","Lower middle income"
2010,"INDONESIA","IDN",1.70290597910492,3094.44307855057,22.31721025,27.9,17.4,33.9,2.7908783,244016173,"78","61.8456968664636","East Asia and Pacific","Upper middle income"
2010,"IRAN, ISLAMIC REP.","IRN",7.1798251528995,6458.57395640309,41.37853622,16.5,12.6,19.3,6.29153061,75373855,"99","85.1656679433689","Middle East and North Africa","Lower middle income"
2010,"IRAQ","IRQ",3.47195694849252,4430.42624189518,57.24593137,28.7,19.9,34.9,3.23055625,31264875,"75","82.9658494219012","Middle East and North Africa","Upper middle income"
2010,"IRELAND","IRL",8.84787907428585,48663.6004439262,9.902931522,3.5,2.5,4.2,10.5258255,4560155,"90","89.883283669164","Europe and Central Asia","High income"
2010,"ISRAEL","ISR",9.25026234324991,31266.6053174383,24.98858454,3.7,2.4,4.6,6.99706697,7623600,"96","100","Middle East and North Africa","High income"
2010,"ITALY","ITA",6.83687516276224,36035.6449950699,20.29490103,3.4,2.4,4,8.91602039,59277417,"91","99.8857062365452","Europe and Central Asia","High income"
2010,"JAMAICA","JAM",2.73594899001279,4835.79106820501,14.88750421,14.8,14.6,17.3,5.2951932,2733896,"89","84.7049497959263","Latin America and Caribbean","Upper middle income"
2010,"JAPAN","JPN",9.03600999453424,44968.1562349739,11.52530862,2.3,1.1,3.2,9.0630064,128070000,"94","99.9730441075855","East Asia and Pacific","High income"
2010,"JORDAN","JOR",2.91387220039999,3914.70123105389,35.89120302,17.2,11.8,20.1,8.17025661,6931258,"98","97.9706013227248","Middle East and North Africa","Lower middle income"
2010,"KAZAKHSTAN","KAZ",14.0732754184079,9070.48825285747,18.97825386,18.2,11.8,20.4,2.73641348,16321872,"99","97.3958712664256","Europe and Central Asia","Upper middle income"
2010,"KENYA","KEN",0.323340092266238,1093.63962775736,26.8091823,38.5,23.2,56.1,5.38849831,41517895,"86","31.74269809332","Sub-Saharan Africa","Lower middle income"
2010,"KIRIBATI","KIR",0.502801055604426,1438.08077150793,9.806587652,49.3,25.2,64.5,9.26172829,107995,"89","40.2962738587933","East Asia and Pacific","Lower middle income"
2010,"KOREA, REP.","KOR",11.6078298406397,23087.2256438476,22.85407832,3.5,1.8,4.1,5.91734409,49554112,"98","99.9656957165082","East Asia and Pacific","High income"
2010,"KUWAIT","KWT",27.4263799553979,39212.6352806064,66.2493716,9.2,5.5,10.7,2.67879915,2943356,"98","100","Middle East and North Africa","High income"
2010,"KYRGYZ REPUBLIC","KGZ",1.17373666917528,880.038514144186,23.28809126,26.1,17,29.6,6.95027161,5447900,"99","95.3014005515192","Europe and Central Asia","Lower middle income"
2010,"LAO PDR","LAO",0.454991272125297,1127.83523605646,26.37801788,51.8,28.8,68.3,2.91155219,6323418,"64","56.4281940263064","East Asia and Pacific","Lower middle income"
2010,"LATVIA","LVA",4.06096622019446,11420.9940032836,18.08881031,6.5,4.2,7.8,6.097435,2097555,"95","90.0717571918189","Europe and Central Asia","High income"
2010,"LEBANON","LBN",4.17636814924537,7695.24541461262,32.37350564,9.7,6.5,11.2,7.43864489,4995800,"80","87.3971560230884","Middle East and North Africa","Lower middle income"
2010,"LESOTHO","LSO",1.0672615013148,1104.80053785826,32.62987189,67,37.9,93,8.35764122,2022747,"88","30.4253043022921","Sub-Saharan Africa","Lower middle income"
2010,"LIBERIA","LBR",0.181534325251321,497.020365397034,44.46963149,71.9,32.9,99.9,8.978302,4019956,"65","15.9511988042973","Sub-Saharan Africa","Low income"
2010,"LIBYA","LBY",9.17432379727135,11611.3585953054,48.07737731,14.2,8.9,16.6,3.58541107,6491988,"98","91.4532145985401","Middle East and North Africa","Upper middle income"
2010,"LITHUANIA","LTU",4.06905151032421,11987.508411647,14.70448134,4.9,2.8,6,6.81462288,3097282,"96","89.1284006750331","Europe and Central Asia","High income"
2010,"LUXEMBOURG","LUX",21.7556657126006,110885.991378724,13.18124791,2.3,1.5,2.8,6.66263008,506953,"96","97.6400126990447","Europe and Central Asia","High income"
2010,"MADAGASCAR","MDG",0.0860427702237899,459.375407998781,19.00867131,48,25.1,70.9,4.65100384,21731053,"66","8.57423264087617","Sub-Saharan Africa","Low income"
2010,"MALAWI","MWI",0.0668862463652693,688.139191185368,25.76200797,52,26.5,83,5.14304781,14718422,"93","22.9502207251724","Sub-Saharan Africa","Low income"
2010,"MALAYSIA","MYS",6.95970722756613,8880.14603964288,18.24105197,7,4.3,8.1,3.16474271,28717731,"95","94.736582737823","East Asia and Pacific","Upper middle income"
2010,"MALDIVES","MDV",2.6633478531425,7158.06141101431,13.74643253,11.9,7.6,13.9,8.48758984,361575,"97","87.8394197664","South Asia","Upper middle income"
2010,"MALI","MLI",0.138706606613704,688.327865548408,62.42665398,78.4,39.9,134.1,4.67866755,15529181,"78","29.6838043988009","Sub-Saharan Africa","Low income"
2010,"MALTA","MLT",6.24016906790701,21798.9029323123,17.53479836,6,4.6,6.8,7.95211124,414508,"73","99.9647232541935","Middle East and North Africa","High income"
2010,"MARSHALL ISLANDS","MHL",2.63591433278418,3001.31982926464,9.71516679,31.8,17.9,39.1,13.93147564,53416,"97","85.4310277601314","East Asia and Pacific","Upper middle income"
2010,"MAURITANIA","MRT",0.606440605697799,1646.13044745656,64.4872204,41.6,28.3,56.7,2.63618922,3419461,"67","32.4828471045186","Sub-Saharan Africa","Lower middle income"
2010,"MAURITIUS","MUS",2.92850287907869,8000.37643182154,15.01183272,12.5,9.4,14.6,4.57982159,1250400,"99","94.2335664258149","Sub-Saharan Africa","Upper middle income"
2010,"MEXICO","MEX",4.11321091425038,9399.96470859669,21.61912278,16.4,9,19.2,5.73688889,112532401,"95","84.9709827739648","Latin America and Caribbean","Upper middle income"
2010,"MOLDOVA","MDA",2.89799933900559,2436.7993586401,18.25907358,14.7,12.7,17.1,10.13112831,2862354,"97","76.9677005639759","Europe and Central Asia","Upper middle income"
2010,"MONGOLIA","MNG",5.2954649734322,2660.28817572742,30.13551628,22.1,11.5,26.3,3.73945689,2702520,"97","56.6892307138482","East Asia and Pacific","Lower middle income"
2010,"MOROCCO","MAR",1.59401556113047,3067.85180664063,32.91817527,26.9,19.4,31.3,5.86408854,32464865,"98","77.918633263736","Middle East and North Africa","Lower middle income"
2010,"MOZAMBIQUE","MOZ",0.116175443382067,481.268196951352,23.25243023,71.1,34.2,104.8,5.43892908,23073723,"82","21.3170069551163","Sub-Saharan Africa","Low income"
2010,"MYANMAR","MMR",0.164631248113522,765.241888636197,37.52067534,48.6,28.4,63.4,1.95585966,49390988,"88","68.8298210389307","East Asia and Pacific","Lower middle income"
2010,"NAMIBIA","NAM",1.47837034856386,5445.42006302741,26.5972148,36.9,21.3,49.4,9.72781372,2099271,"75","32.1500515659927","Sub-Saharan Africa","Upper middle income"
2010,"NAURU","NRU",4.16951469583049,4644.35527446884,5.408164988,30.7,24,37.6,12.6964016,10241,"99","65.7598065462126","East Asia and Pacific","High income"
2010,"NEPAL","NPL",0.17086274882447,589.165434913038,77.14093136,36.6,26.4,45.9,4.3516593,27161567,"86","42.0493403726571","South Asia","Lower middle income"
2010,"NETHERLANDS","NLD",10.2983113129908,50999.7451168891,15.71146331,3.7,2.8,4.4,10.15508747,16615394,"96","97.8081693959468","Europe and Central Asia","High income"
2010,"NEW ZEALAND","NZL",7.13662169306089,33676.7741239925,6.30265652,5.2,3.2,6.2,9.59277534,4350700,"91","99.9999988878029","East Asia and Pacific","High income"
2010,"NICARAGUA","NIC",0.770731730642136,1495.73377659921,21.39452778,20.4,13.6,24.1,7.71019173,5855734,"99","66.9420991365654","Latin America and Caribbean","Lower middle income"
2010,"NIGER","NER",0.0817572298807097,471.612687756478,78.00109729,65.8,34.2,133.3,4.96100473,16647543,"67","10.4624965004898","Sub-Saharan Africa","Low income"
2010,"NIGERIA","NGA",0.559512915251027,2280.11197852503,62.90328334,84.4,38.1,135.7,3.29653287,160952853,"56","34.6931332709606","Sub-Saharan Africa","Lower middle income"
2010,"NORTH MACEDONIA","MKD",4.05332544364877,4577.68957570575,35.8443433,9.2,6.9,10.4,6.71369696,2055004,"98","92.2138595061877","Europe and Central Asia","Upper middle income"
2010,"NORWAY","NOR",8.20501786367322,88163.2085931423,8.099763965,2.7,1.9,3.3,8.90553188,4889252,"93","98.0626945664686","Europe and Central Asia","High income"
2010,"OMAN","OMN",16.3350814771017,22552.1990071233,41.07175478,10.1,5.3,11.7,2.82071519,2881914,"99","96.2174889393392","Middle East and North Africa","High income"
2010,"PAKISTAN","PAK",0.72190976009205,911.089996122843,59.60870032,70.2,49.8,87.2,2.39686546,194454498,"57","49.5244058324413","South Asia","Lower middle income"
2010,"PALAU","PLW",11.5857605177994,10029.28802589,5.82930591,21.2,12.2,23.1,11.67239475,18540,"39","95.6834732406395","East Asia and Pacific","Upper middle income"
2010,"PANAMA","PAN",2.53630557534088,8124.55830734871,15.4543969,16.9,11.1,19.8,7.4865942,3623617,"97","72.9641411354317","Latin America and Caribbean","High income"
2010,"PAPUA NEW GUINEA","PNG",0.664884761439954,1879.24044384288,17.35284731,45,26.2,58,2.10756016,7583269,"63","18.6299433546528","East Asia and Pacific","Lower middle income"
2010,"PARAGUAY","PRY",0.8742656163622,4702.91576988272,14.98227411,21.9,13.8,26,5.46593952,5768613,"93","82.1654388723924","Latin America and Caribbean","Upper middle income"
2010,"PERU","PER",1.53948542250294,5047.2046433225,30.00974099,15.5,9.7,19.9,4.71905422,29229572,"94","71.264248526155","Latin America and Caribbean","Upper middle income"
2010,"PHILIPPINES","PHL",0.865602879221275,2201.77681934472,24.09308424,24.8,14.9,31.8,4.13107872,94636700,"87","71.030981112432","East Asia and Pacific","Lower middle income"
2010,"POLAND","POL",8.24700467583953,12504.2501856093,27.29182037,5.1,3.6,6,6.4122324,38042794,"98","94.2762845452116","Europe and Central Asia","High income"
2010,"PORTUGAL","PRT",4.81763153663542,22520.642312405,9.88427534,3.1,2.1,3.8,10.03250504,10573100,"96","98.7617899525804","Europe and Central Asia","High income"
2010,"QATAR","QAT",35.5482683436981,73021.3097525035,79.06584644,7.8,4.5,9.2,1.87017763,1713504,"99","99.9365482161506","Middle East and North Africa","High income"
2010,"ROMANIA","ROU",3.83278482882614,8397.80917311457,18.48995556,10.6,5.4,12.4,5.76614285,20246871,"95","78.9811608593787","Europe and Central Asia","High income"
2010,"RUSSIAN FEDERATION","RUS",11.3254009458404,10674.990234375,15.27774638,8.4,4.6,10.4,4.97111797,142849468,"98","86.6979468149556","Europe and Central Asia","Upper middle income"
2010,"RWANDA","RWA",0.0682585977285353,594.109511793169,36.27169287,44.1,23.2,63.8,8.08923531,10309031,"95","58.9727043706858","Sub-Saharan Africa","Low income"
2010,"SAMOA","WSM",0.988329086874332,3494.39528991814,11.10471801,16.6,7.8,19.4,5.28433228,194672,"56","93.6394944067816","East Asia and Pacific","Lower middle income"
2010,"SAO TOME AND PRINCIPE","STP",0.564407207721618,1079.68965436787,30.47158597,27.8,16.3,36.3,6.84464884,182138,"92","33.1528174421221","Sub-Saharan Africa","Lower middle income"
2010,"SAUDI ARABIA","SAU",15.1683862693943,17958.9478313331,62.92279434,10.5,6.4,12.3,3.64785957,29411929,"98","95.2504988920031","Middle East and North Africa","High income"
2010,"SENEGAL","SEN",0.560744784507668,1286.60496589073,56.68739592,42.7,27,66.4,4.02764368,12530121,"81","47.4746195159613","Sub-Saharan Africa","Lower middle income"
2010,"SERBIA","SRB",6.4601677913651,5735.42285659849,31.39235052,6.6,4.8,7.6,9.52730083,7291436,"95","96.5089535369173","Europe and Central Asia","Upper middle income"
2010,"SEYCHELLES","SYC",4.94263116854183,10938.1530897824,15.1257082,12.3,8.8,14.3,4.82908678,89770,"99","97.8470890468718","Sub-Saharan Africa","High income"
2010,"SIERRA LEONE","SLE",0.0870322019147085,400.540693364957,46.33948449,107.6,39.6,161.4,10.94337559,6436698,"82","12.8377260886087","Sub-Saharan Africa","Low income"
2010,"SINGAPORE","SGP",8.35450837270906,47236.6715371242,15.07604341,2.3,1.1,2.8,3.20265388,5076732,"95","100","East Asia and Pacific","High income"
2010,"SLOVAK REPUBLIC","SVK",6.57195088202977,16908.847956488,21.47373959,5.8,3.3,7,7.69692326,5391428,"98","98.3065426540869","Europe and Central Asia","High income"
2010,"SLOVENIA","SVN",7.70151856185471,23532.4808545474,19.19737442,2.6,1.9,3.2,8.56503296,2048583,"95","98.8982038266302","Europe and Central Asia","High income"
2010,"SOLOMON ISLANDS","SLB",0.634351972819831,1661.99781377727,12.10848854,22.2,10.7,26.4,4.66139841,540394,"74","26.8706693554718","East Asia and Pacific","Lower middle income"
2010,"SOUTH AFRICA","ZAF",8.21761222731227,8059.56284101092,29.39830185,35.7,12.2,51.6,7.79358244,51784921,"72","68.1840155796529","Sub-Saharan Africa","Upper middle income"
2010,"SPAIN","ESP",5.88576349343324,30532.4805081663,11.49190106,3.2,2.1,3.8,9.11891174,46576897,"95","99.8774333450347","Europe and Central Asia","High income"
2010,"SRI LANKA","LKA",0.6324486029673,2836.97409785065,24.69380238,9.6,6.3,11.2,3.86745572,20668557,"99","84.8883738090123","South Asia","Lower middle income"
2010,"ST. KITTS AND NEVIS","KNA",4.83513701664452,16427.6210053903,8.104640488,14.6,11.7,17.5,5.2136941,47403,"99","92.9914257928585","Latin America and Caribbean","High income"
2010,"ST. LUCIA","LCA",2.97013484657911,8672.12899856887,19.89151671,17.3,12.9,19.7,5.03797817,170935,"95","83.6875061410302","Latin America and Caribbean","Upper middle income"
2010,"ST. VINCENT AND THE GRENADINES","VCT",2.13708054305266,6590.98957888616,19.79811789,17.8,12.6,19.8,4.30325222,109308,"99","82.8568325268669","Latin America and Caribbean","Upper middle income"
2010,"SUDAN","SDN",0.486883005962104,1706.41491699219,52.82073801,50.9,32.3,75.9,5.05810165,33739933,"90","28.2380452033028","Sub-Saharan Africa","Low income"
